,title,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompany ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
74,The Midnight Gospel,"['Adult animation', 'Science fantasy', 'Surrealism', 'Dark comedy', 'Adventure', 'Interview', 'Psychedelic']","['Pendleton Ward', 'Duncan Trussell']",,,United States,English,1,8,"['Pendleton Ward', 'Duncan Trussell', 'Antonio Canobbio', 'Ben Kalina', 'Chris Prynoski']",,,20-36 minutes,"Oatmeal MaidenTitmouse, Inc.",,Netflix,4K (Ultra HD)High dynamic range,Dolby Digital Plus 5.1,"April 20, 2020 (2020-04-20) –present",20,present,,,,,,,Adventure Time,,,,,"['Shannon Prynoski', 'Tony Salama']",Joe Wong,Megan Love,,"['Pendleton Ward', 'Duncan Trussell', 'Mike L. Mayfield']",Pendleton Ward,,"['Duncan Trussell', 'Phil Hendrie']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,The Liberator,,Jeb Stuart,,"['Mikolai Stroinski', 'Jason Todd Shannon', 'Benjamin Scott Holst']",United States,English,N/A,4,"['Jeb Stuart', 'A+E Studios:', 'Barry Jossen', 'Unique Features:', 'Michael Lynne', 'Bob Shaye', 'Sarah Victor', ' Trioscope Studios:', 'L.C. Crowley', 'Grzegorz Jonkajtys', 'Brandon Barr', 'Mark Apen']",,,45–56 minutes,"['A&E Studios', 'Unique Features', 'Trioscope Studios (animation)']",,Netflix,4K (UHD) Widescreen,Stereo,"November 11, 2020 (2020-11-11)",45,11,,,,,The Liberator: One World War II Soldier’s 500-Day Odysseyby Alex Kershaw,,,Mike Rowe,"""July 10, 1943""by Jason Todd Shannon",,,"['Alex Kershaw', 'Łukasz Dzięcioł', 'Natalia Lacosta']",,Akın Özçelik,,Jeb Stuart,Greg Jonkajtys,,"['Bradley James', 'Jose Miguel Vasquez', 'Martin Sensmeier']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Castlevania,DramaDark fantasyActionAdventureHorror,Warren Ellis,,,United States,English,3,22 ,"['Adi Shankar', 'Fred Seibert', 'Ted Biaselli', 'Kevin Kolde', 'Larry Tanz', 'Warren Ellis']",,,23–31 minutes,"['Frederator Studios', 'Powerhouse Animation Studios', 'Shankar Animation', 'Project 51 Productions', 'Mua Film']",Netflix Streaming Services,Netflix,,,"July 7, 2017 (2017-07-07) –present",23,present,,,,,Castlevaniaby Konami,Adi Shankar,,,,,,Jason WilliamsMaki Terashima-Furuta (seasons 2–3),Trevor Morris,,,Warren Ellis (seasons 1–4),"['Sam Deats', 'Adam Deats', 'Spencer Wan']",,"['Richard Armitage', 'James Callis', 'Graham McTavish', 'Alejandra Reynoso', 'Tony Amendola', 'Matt Frewer', 'Emily Swallow', 'Theo James', ""Adetokumboh M'Cormack"", 'Jaime Murray', 'Peter Stormare', 'Jessica Brown Findlay', 'Yasmine Al Massri', 'Ivana Miličević', 'Bill Nighy', 'Navid Negahban', 'Jason Isaacs', 'Toru Uchikado', 'Rila Fukushima', 'Barbara Steele', 'Lance Reddick']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Dino Girl Gauko,,Akira Shigino,,,"['United States', 'Japan']",Japanese,2,39,"['Hitoshi Mogi', 'Bernard Chong', 'Jackeline Chua', 'Jyotirmoy Saha']",,,9 minutes,"['Ascension', 'August Media', 'Synergy 88']",,Netflix,HDTV 1080p,Stereo,"November 22, 2019 (2019-11-22) –present",9,present,,Hitoshi Mogi,,,,,,,,,,,Kazuhiko Sawaguchi,Satoko Fujimoto,,Hikaru Kurozumi,Akira Shigino,,"['Naoko Matsui', 'Corina Boettger']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Transformers: War for Cybertron Trilogy,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformers: Generation 1 by Takara and Hasbro,Hasbro,Transformers: Generations,"Transformers: War for Cybertron - Siege (Netflix, 2020), Transformers: War for Cybertron - Earthrise (Netflix, 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Blood of Zeus,"['Fantasy', 'Adventure', 'Action']","['Charley Parlapanides', 'Vlas Parlapanides']",,,United States,English,1,8,"['Charley Parlapanides', 'Vlas Parlapanides', 'Brad Graeber']",,,25–37 minutes,"['Powerhouse Animation', 'Asia Minor Pictures']",,Netflix,HDTV 1080p,Stereo,"October 27, 2020 (2020-10-27) –present",25,present,,,,,,,,,,,,,,Shea Formaneck,,,Shaunt Nigoghossian,Paul Edward-Francis,"['Derek Phillips', ""Jason O'Mara"", 'Claudia Christian', 'Elias Toufexis']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Transformers: War for Cybertron Trilogy,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transformers: Generation 1 by Takara and Hasbro,Hasbro,Transformers: Generations,"Transformers: War for Cybertron - Siege (Netflix, 2020), Transformers: War for Cybertron - Earthrise (Netflix, 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Pacific Rim: The Black,"['Adult animation', 'Mecha', 'Cyberpunk', 'Science fiction', 'Action']","['Greg Johnson', 'Craig Kyle']",,,United States,English,N/A,N/A,"['Greg Johnson', 'Craig Kyle']",,,,,,Netflix,,,,,,,Ken Duer,,,Pacific Rimby Travis Beacham and Guillermo del Toro,,,,,Legendary Television,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Dota: Dragon's Blood,"['Adult animation', 'Fantasy', 'Adventure', 'Action']",Ashley Edward Miller,,,United States,English,N/A,N/A,"['Ashley Edward Miller', 'Ki Hyun Ryu (co-executive)']",,,,"['Netflix Animation', 'Valve']",,Netflix,,,,,,,Eugene Lee (supervising),,,Dota 2by Valve,,,,,,,,,,,,,,"['Yuri Lowenthal', 'Josh Keaton']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Word Party,Educational,Alex Rockwell,,,United States,English,4,50,Lisa HensonHalle StanfordAlex Rockwell,,,13 minutes,,NetflixThe Jim Henson Company,Netflix,1080p,,"July 8, 2016 (2016-07-08) –present",13,present,"Alex Geringas, Mike Himelstein, Dena Diamond",The Jim Henson Company,Clubhouse,,,,,Patina Miller,Word Party Song,The Jim Henson Company,,,Michael Silversher and Patty Silversher,,,,,,"Dorien DaviesVictor YerridDonna KimballJohn Tartaglia
Alice Dinnean Risa Mei",Word Party Instrumental Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,The Boss Baby: Back in Business,Comedy,,,"['Ben Bromfield', 'Ryan Elder']",United States,English,4,49 ,,,,24 minutes,,NBCUniversal Television DistributionNetflix,Netflix,,,"April 6, 2018 (2018-04-06) –present",24,present,"['J-Radical', 'Kool Kojak', 'Tis Himself']",,,,"['The Boss Baby (film)by Tom McGrath', 'The Boss Baby (book)by Marla Frazee']",Brandon Sawyer,,,,DreamWorks Animation Television,The Boss Baby,,,Matt Barrios,,,,,"['JP Karliak', 'Pierce Gagnon', 'Kevin Michael Richardson']",,,,,Brandon Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,The Dragon Prince,"['Action', 'Adventure', 'Fantasy', 'Comedy-drama']","['Aaron Ehasz', 'Justin Richmond']",,,United StatesCanada,English,3,27,"['Aaron Ehasz', 'Justin Richmond', 'Justin Santistevan', 'Giancarlo Volpe', 'Delna Bhesania', 'Richard Grieve', 'Gigi Pritzker']",,,24–33 minutes,"['Wonderstorm', 'Bardel Entertainment', 'MWM Studios']",Netflix (North America)PGS Entertainment (International),Netflix,HDTV 1080p,Stereo,"September 14, 2018 (2018-09-14) –present (present)",24,present,,,,,,,,,,,,,Frederik Wiedmann,,,"['Aaron Ehasz', 'Justin Richmond', 'Devon Giehl', 'Iain Hendry', 'Neil Mukhopadhyay']","['Villads Spangsberg', 'Giancarlo Volpe']",,"['Jack DeSena', 'Paula Burrows', 'Sasha Rojen', 'Racquel Belmonte', 'Jesse Inocalla', 'Jason Simpson']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Hilda,"['Urban Fantasy', 'Adventure', 'Comedy-drama', 'Science fantasy', 'Supernatural']",Luke Pearson,"['Bella Ramsey', 'Ameerah Falzon-Ojo', 'Oliver Nelson', 'Daisy Haggard', 'Rasmus Hardiker']",Dan Mangan (season 1)Ryan Carlson (all seasons),United KingdomCanadaUnited States,English,2,26,"['Kurt Mueller', 'Luke Pearson', 'Stephanie Simpson', 'Clint Eland', 'Paula Rosenthal']",,,24 minutes,NetflixSilvergate MediaMercury FilmworksNobrow PressAtomic CartoonsFlying Eye Books (season 2),,Netflix,16:9 1080p,Dolby Digital 5.1,21 September 2018 (2018-09-21) –present,24,present,Grimes,,,,Hildaby Luke Pearson,"['Luke Pearson', 'Stephanie Simpson', 'Kurt Mueller']",,,"""Hilda (Main Title Theme)"" performed by Grimes",,,"['Bryan Korn', 'Chantal Ling', 'Rachel Simon', 'Supervising producer: Adam Idelson']",,John McKinnon,,"['Stephanie Simpson', 'Kenny Byerly', 'Ben Joseph', 'Luke Pearson', 'Brian Korn', 'Gabe Pulliam', 'Tim McKeon', 'Todd Casey', 'Emily Brundige']",Andy Coyle,,,"""Hilda's Theme"" composed by Ryan Carlson (all seasons)""The Life of Hilda"" performed by Bella Ramsey (season 2, episode 7)""The End"" performed by Greta Kline (season 2, episode 13)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,YooHoo to the Rescue,"['Adventure', 'Educational', 'Comedy']",,,,"['South Korea', 'Italy']",English,3,52 ,"['Jay Noh', 'Orlando Corradi', 'Matteo Corradi']",,,12 minutes,"['Aurora World', 'Mondo TV']",,Netflix,HDTV 1080i,Stereo,"March 15, 2019 (2019-03-15) –present",12,present,,,,, YooHoo & Friendsby Aurora World,,"['YooHoo & Friends (2009 TV series)', 'YooHoo & Friends (2012 TV series)']",,,,,"['Giwon Goo', 'Paolo Zecca', 'Albert H. Lee', 'Federico Faccini']",Lorenzo Castelli,,,,Horak Kim,,"['Kira Buckland', 'Ryan Bartley', 'Bryce Papenbrook', 'Cassandra Lee Morris', 'Lucien Dodge', 'Kyle Hebert', 'Erica Mendez']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Mighty Little Bheem,Comedy,Rajiv Chilaka,,,,,3,64,,,,6 minutes,,,Netflix,,,"April 12, 2019 (2019-04-12) –present",6,present,,,,,Chhota Bheem,,Chhota BheemMighty RajuArjun - Prince of BaliSuper Bheem,,,Green Gold Animations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,The Last Kids On Earth,Comedy,,,,United StatesCanada,English,3,21,"['Max Brallier', 'Matthew Berkowitz', 'Jennifer McCarron', 'Scott Peterson']",,,60 minutes (book 1)23 minutes (book 2)24 minutes (book 3),"['Atomic Cartoons', 'Koko Productions Inc.']",,Netflix,HDTV 1080p,Stereo,"September 17, 2019 (2019-09-17) –present",60,present,Mike Shields,,,,The Last Kids on Earthby Max Brallier,,,,,,,,Marcelo Trevino,Darren Bachynski,,,"['William Lau (book 1)', 'Steve Rolston (book 2-3)']",,"['Nick Wolfhard', 'Charles Demers', 'Montserrat Hernandez', 'Garland Whitt']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Hello Ninja,,N. D. Wilson,,"Brian Carson, Dave Bassett",United States,English,4,39,"['N. D. Wilson', 'Aaron Rench', 'Grace Ledding', 'Mark Palmer', 'Jennifer Twiner McCarron', 'Matthew Berkowitz']",,,11–13 minutes,"Atomic Cartoons, Gorilla Poet, Netflix Animation",Netflix,Netflix,,,"November 1, 2019 (2019-11-01) –present",11,present,,Linda Lamontagne,,,Hello Ninjaby N. D. Wilson,,,,,,,,,Andrew McSherry,,Susan Kim,Michael Dowding,,"Lukas Engel, Zoey Stewart, Mayumi Yoshida, Sam Vincent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Green Eggs and Ham,"['Buddy comedy', 'Road comedy', 'Fantasy', 'Adventure']",,,,United States,English,1,13 ,"['Jared Stern', 'Ellen DeGeneres', 'Jeff Kleeman', 'Mike Karz', 'David Dobkin', 'Sam Register']",,"['Mark Rosenbaum', 'Margaret Hou']",27–28 minutes,"['Gulfstream Pictures', 'A Stern Talking To', 'A Very Good Production', 'Warner Bros. Animation']",Warner Bros. Television Distribution,Netflix,4K Ultra HD,Dolby Digital Plus 5.1,"November 8, 2019 (2019-11-08) –present (present)",27,present,,Helen Kalafatic,,,['Dr. Seuss'],Jared Stern,,Keegan-Michael Key,"""Back Flip"" performed by Rivers Cuomo",,,,David Newman,,,,"['Lawrence Gong', 'Piero Piluso']",,"['Michael Douglas', 'Adam DeVine', 'Eddie Izzard', 'Jeffrey Wright', 'Jillian Bell', 'Ilana Glazer', 'Diane Keaton']","""Back Flip"" (cont.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Fast & Furious Spy Racers,Spy fictionAction fiction,,,"['Ryan Lofty', 'Jay Vincent']",United States,English,3,24 ,"['Vin Diesel', 'Neal Moritz', 'Chris Morgan', 'Tim Hedrick', 'Bret Haaland']",,,23–24 minutes,"['Universal Pictures', 'DreamWorks Animation Television']","['NBCUniversal Television Distribution', 'Netflix']",Netflix,HDTV 1080p,Stereo,"December 26, 2019 (2019-12-26) –present (present)",23,present,"['Alex Geringas', 'Will Fuller']",,,,Fast & Furiousby Gary Scott Thompson,,,,,,,,,,,,,,"['Tyler Posey', 'Charlet Chung', 'Jorge Diaz', 'Camille Ramsey', 'Luke Youngblood', 'Renée Elise Goldsberry']","""Chasing Legacy"" performed by Shaylin Becton and Tha Vil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Go! Go! Cory Carson,,"['Stanley Moore', 'Alex Woo']",,,United StatesFrance,,3,21,"['Alex Woo', 'Stanley Moore', 'Tone Thyne']",,,7-8 minutes,Kuku StudiosSuperprod StudioVTechNetflix Animation,Netflix,Netflix,HDTV 1080p,Dolby Digital 5.1,"January 4, 2020 (2020-01-04) –present",7,present,Ryan Shore,Tim Hahn,,,"""Go! Go! Smart Wheels""toy line by VTech",,,,,,,,Ryan Shore,T.M. Christopher,,,"['Stanley Moore', 'Alex Woo']",,,,,,EnglishFrench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Glitch Techs,,"['Eric Robles', 'Dan Milano']",,,United States,English,2,19,"['Eric Robles', 'Dan Milano']",,,"['46 minutes (episode 1)', '23 minutes (season 1)', '25 minutes (season 2)']",,"['Netflix Streaming Services', 'ViacomCBS Domestic Media Networks']",Netflix,HDTV 1080p,Dolby Digital Plus 5.1,"February 21, 2020 (2020-02-21) –present","['46 minutes (episode 1)', '23 minutes (season 1)', '25 minutes (season 2)']",present,Brad Breeck,,,,,,,,"""Glitch Techs Theme""by Brad Breeck and Melody Carrillo",Nickelodeon Animation Studio,,Debbie SteerLisa Thibault Woods,Brad Breeck,,,,"['Phil Allora', 'Chris Graham', 'Ian Graham']",,"['Ricardo Hurtado', 'Monica Ray', 'Scott Kreamer', 'Dan Milano', 'Luke Youngblood']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Mighty Little Bheem,Comedy,Rajiv Chilaka,,,,,3,64,,,,6 minutes,,,Netflix,,,"April 12, 2019 (2019-04-12) –present",6,present,,,,,Chhota Bheem,,Chhota BheemMighty RajuArjun - Prince of BaliSuper Bheem,,,Green Gold Animations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Buddi,,Jason Jameson,,,"['United Kingdom', 'China']",English,2,16,"['Graham Appleby', 'Keith Chapman', 'Erica Darby', 'Morgan Francis', 'Mara Leighton', 'Alan Ross', 'Adam Stanhope']",,,12 minutes,"['Frog Land Productions', 'GCI Film', 'Shanghai Motion Magic', 'Spider Eye Inc.', 'Unanico']",Netflix,Netflix,HDTV 1080p,Stereo,"March 20, 2020 (2020-03-20) –present",12,present,,,,,,,,,,,,"['Tony Hal', 'Paul Laikin', 'Guo Xiang']",Jon Griffin,,,"['Barbara Slade', 'Jason Jameson', 'Robert Milne', 'Karen Ullmann', 'Paul Laikin', 'Naima Vogt']","['Robert Milne', 'Karen Ullmann']",,"['Greta Jameson', 'Ralf Jameson', 'Clementine Laikin', 'Felix Laikin']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Spirit Riding Free,AnimationAdventure,,,Joachim HorsleyJames Allen Roberson,United States,English,10,68 ,"['Aury Wallington', 'Jim Schumann co-executive producer']",,,23 minutes,,NBCUniversal Television DistributionNetflix Streaming Services,Netflix,,,"May 5, 2017 (2017-05-05) –present (present)",23,present,Kari Kimmel,,,,Spirit: Stallion of the Cimarron by John Fusco,Aury Wallington,,,"""Riding Free"", performed by Maisy Stella",DreamWorks Animation Television,,,,,,,,,"['Amber Frank', 'Sydney Park', 'Bailey Gambertoglio', 'Darcy Rose Byrnes', 'Nolan North', 'Kari Wahlgren']","""Riding Free"" (Instrumental)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,StarBeam,,"['Loris Lunsford', 'Jason Netter']",,,Canada,English,2,16,"['Loris Kramer Lunsford', 'Jason Netter', 'Heather Puttock']",,"['Peter Faint', 'Kerr Holden']",11-14 minutes,,Netflix,Netflix,HDTV 1080p,Stereo,"April 3, 2020 (2020-04-03) –present",11,present,Earworm Sound,,,,,,,,"""StarBeam Theme""by Kathryn Rende",Kickstart Productions,,,Jim Latham,,,Noelle Wright,Johnny Darrell,,"['Nahanni Mitchell', 'Dean Petriw']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Chico Bon Bon: Monkey with a Tool Belt,,,,"['Mike Reagan', 'Bob Boyle']",United KingdomIreland,English,4,38,,,,14 minutes,"['Silvergate Media', 'Brown Bag Films']",Netflix,Netflix,,,"May 8 (2020-05-08) –December 29, 2020 (2020-12-29)",14,"December 29, 2020",,,,,Chico Bon Bon: Monkey with a Tool Belt by Chris Monroe,Bob Boyle,,,,,,Méabh BoylePauline Dunne,,,,Chris Monroe,Darragh O'Connell,,"['Robbie Daymond', 'Dayci Brookshire', 'Anthony Tedesco']",,,,,Bob Boyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True and the Rainbow Kingdom,"['Fantasy', 'Adventure']","['Jeff Borkin', 'Samuel Borkson', 'Arturo Sandoval III', 'Bill Schultz']",,,United StatesCanada,English,3 ,29 ,"['Mary Bredin', 'Frank Falcone', 'Robin Frank', 'Jeremy Larner', 'Bill Schultz', 'Pharrell Williams', 'For Netflix', 'Dominique Bazay']",,"['Tom Berger', 'Kelly Carlson Rajo Zakic']",22 minutes,"['Home Plate Entertainment', 'Guru Studio']",,Netflix,,,"August 11, 2017 (2017-08-11) –present (present)",22,present,,,,,Artworks by FriendsWithYou (Samuel Borkson and Arturo Sandoval III),"['Mary Bredin', 'Frank Falcone']",,,"""She's True!""",,,"['Erin Mackie\nJiro C. Okada', 'Supervising Producers', 'Christina Rotsaert', 'Nora Keely']",,,,,"['Mark Thornton & Todd Kauffman  Harold Harris', 'Jamie Whitney']","['Lorenzo Castelli', 'Joe Coupal', 'For Eggplant', ""Steve D'Angelo"", 'Terry Tompkins']","['Michela Luci', 'Jamie Watson', 'Daniel Pathan', 'Eric Peterson', 'Anna Bartlam', 'Dante Zee', 'Nicolas Aqui']",,,,,,,,,,"['Brandon James Scott (design)', 'Yurie Rocha (production)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Rhyme Time Town,,,,,United States,English,1,6 ,,,,24 minutes,,NBCUniversal Television DistributionNetflix,Netflix,,,"June 19, 2020 (2020-06-19) –present",24,present,,,,,various nursery rhymes,Dan Berlinka,,,,DreamWorks Animation Television,,,,,,Andrew Emerson,,,,,,,,Eric Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,The Epic Tales of Captain Underpants,ActionAdventureComedy,Dav Pilkey,,Jared FaberFred Kron,United States,English,4,45 ,,,,24 minutes,"Titmouse, Inc. (animation service)Scholastic EntertainmentDreamWorks Animation Television",NBCUniversal Television DistributionNetflix,Netflix,HDTV 1080p,Stereo,"July 13, 2018 (2018-07-13) –present",24,present,Peter Hastings,Todd Grimes,,,Captain Underpantsby Dav PilkeyCaptain Underpants: The First Epic Movieby David Soren,Peter HastingsMark Banker,,Sean Astin,,,,,,,,,,,"['Nat Faxon', 'Ramone Hamilton', 'Jay Gragnani', 'Jorge Diaz', 'Peter Hastings']",,,,,Peter Hastings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Wizards: Tales of Arcadia,Science fantasy,Guillermo del Toro,,"['Jeff Danna', 'John Fee']",United States,English,N/A,10,"['Guillermo del Toro', 'Marc Guggenheim', 'Aaron Waltke', 'Chad Quandt', 'Chad Hammes']",,,23–24 minutes,"['DreamWorks Animation', 'Double Dare You Productions']","['NBCUniversal Television Distribution', 'Netflix']",Netflix,HDTV 1080p,Stereo,"August 7, 2020 (2020-08-07)",23,08,,,,,characters by Guillermo del Toro and Daniel Kraus,,,,,,3Below: Tales of Arcadia,,,,,,,,"[""Colin O'Donoghue"", 'Lexi Medrano', 'David Bradley', 'Lena Headey', 'James Faulkner']",,,,,,,,,,,Trollhunters: Rise of the Titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Word Party,Educational,Alex Rockwell,,,United States,English,4,50,Lisa HensonHalle StanfordAlex Rockwell,,,13 minutes,,NetflixThe Jim Henson Company,Netflix,1080p,,"July 8, 2016 (2016-07-08) –present",13,present,"Alex Geringas, Mike Himelstein, Dena Diamond",The Jim Henson Company,Clubhouse,,,,,Patina Miller,Word Party Song,The Jim Henson Company,,,Michael Silversher and Patty Silversher,,,,,,"Dorien DaviesVictor YerridDonna KimballJohn Tartaglia
Alice Dinnean Risa Mei",Word Party Instrumental Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Jurassic World Camp Cretaceous,"['Science fiction', 'Action-adventure']",,,,United States,English,2,16,"['Lane Lueras', 'Scott Kreamer', 'Steven Spielberg', 'Colin Trevorrow', 'Frank Marshall']",,,24 minutes,"['Universal Pictures', 'DreamWorks Animation Television', 'Amblin Entertainment']",Netflix,Netflix,1080p (HDTV),Stereo,"September 18, 2020 (2020-09-18) –present",24,present,"['John Williams', 'Michael Giacchino']",,,,Jurassic Parkby Michael Crichton,Zack Stentz,,,,,,,Leo Birenberg,,,,,,"['Paul-Mikél Williams', 'Sean Giambrone', 'Kausar Mohammed', 'Jenna Ortega', 'Ryan Potter', 'Raini Rodriguez']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Mighty Express,Animated series,Keith Chapman,,,United States Canada,English,2,18,,,,14 minutes,Spin Master EntertainmentNetflix StudiosAtomic Cartoons,Netflix,,,,,14,,Cooper Maden,,,,,,,,,,,"['Jonah Stroh, Dan Mokriy, Christina Sang-St. Catherine, David Sharples (Ep 105B-121B only), Marise Kruger, Shayna Fine (Ep 117A onward)', 'Executive: Jennifer Dodge, Keith Chapman, Ronnen Harary, Suzanne Bolch & John May (Eps 101A, 101B, 102A, 105B only)', 'Co-Executive: Laura Clunie & Toni Stevens']",,,,,['Clint Butler'],,"['Jay Hatton', 'Zoe Hatz', 'Meesha Contreras', 'Dylan Schombing', 'Tyler Nathan', 'Leo Orgil', 'Michela Luci', 'Ian Ho', 'Evan LeFeuvre', 'Annick Obonsawin', 'Gracen Daly']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Trash Truck,,Max Keane,,,United States,English,N/A,12 + Special,"['Max Keane', 'Glen Keane', 'Gennie Rim']",,,12-17 minutes,"['Chromosphere Studio', 'Max Keane Productions']",Netflix,Netflix,HDTV 1080p,Stereo,"November 10, 2020 (2020-11-10)",12,11,Pollen Music Group,,,,Trash Truckby Max Keane,,,,"""Trash Truck"" Theme",,,,Stephen Spies,Sally Bergom,,,,,"['Henry Keane', 'Glen Keane']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Rhyme Time Town,,,,,United States,English,1,6 ,,,,24 minutes,,NBCUniversal Television DistributionNetflix,Netflix,,,"June 19, 2020 (2020-06-19) –present",24,present,,,,,various nursery rhymes,Dan Berlinka,,,,DreamWorks Animation Television,,,,,,Andrew Emerson,,,,,,,,Eric Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Mighty Little Bheem,Comedy,Rajiv Chilaka,,,,,3,64,,,,6 minutes,,,Netflix,,,"April 12, 2019 (2019-04-12) –present",6,present,,,,,Chhota Bheem,,Chhota BheemMighty RajuArjun - Prince of BaliSuper Bheem,,,Green Gold Animations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"Go, Dog. Go!",,,,,"['United States', 'Canada']",English,N/A,9 ,"['Adam Peltzman', 'Lynn Kestin Sessler', 'Chris Angelilli', 'Josh Scherba', 'Stephanie Betts', 'Amir Nasrabadi']",,"['Ken Mackenzie', 'Gina Pacheco', 'Ryan Valade']",24 minutes,"['DreamWorks Animation Television', 'WildBrain Studios']",,Netflix,HDTV 1080p,Stereo,"January 26, 2021 (2021-01-26)",24,01,Paul Buckley,Morgana Duque,,,"Go, Dog. Go!by P. D. Eastman",Adam Peltzman,,,"""Go, Dog. Go!"" by Paul Buckley, Reno Selmser and Zoe D'Andrea",,,,Paul Buckley,,,,"['Andrew Duncan', 'Kiran Shangherra']",,"['Michela Luci', 'Callum Shoniker']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
