,title,Genre,Created by,Starring,Composers,Country of origin,Original language,No. of seasons,No. of episodes,Executive producers,Cinematography,Editors,Running time,Production companies,Distributor,Original network,Picture format,Audio format,Original release,Running time (int),Final release,Theme music composer,Producer,Production location,Production locations,Based on,Developed by,Related shows,Narrated by,Opening theme,Production company,Preceded by,Producers,Composer,Editor,Camera setup,Written by,Directed by,Music by,Voices of,Ending theme,No. of series,Spanish,Original languages,Executive producer,Original work,Owned by,Toy(s),Web series,Creative directors,Followed by,Animator,Screenplay by,German,Japanese,Hangul,Hanja,Creative director,Budget,Portuguese,Turkish,Traditional,Simplified,Mandarin,Polish,Swedish,Produced by,Productioncompanies ,Distributed by,Release date,Country,Language,Edited by,Presented by,First shown in,Also known as,Judges,French,Chinese,Inspired by,Box office,Book(s),Film(s),Direct-to-video,Musical(s),Video game(s),Soundtrack(s),Original music,Theme park attraction(s),Candy brand,Confections,Revised Romanization
136,Alice in Borderland,"['Science fiction', 'Suspense-thriller', 'Drama']",,"['Kento Yamazaki', 'Tao Tsuchiya', 'Yūki Morinaga', 'Keita Machida', 'Ayame Misaki', 'Nijirō Murakami', 'Yutaro Watanabe', 'Sho Aoyagi', 'Ayaka Miyoshi', 'Dori Sakurada', 'Aya Asahina', 'Shuntarō Yanagi', 'Mizuki Yoshida', 'Kina Yazaki', 'Tsuyoshi Abe', 'Nobuaki Kaneko', 'Riisa Naka']",,Japan,Japanese,1,8 ,,Taro Kawazu,"['Tsuyoshi Imai', 'Shoukichi Kaneda']",41–52 minutes,,Netflix,Netflix,4K (Ultra HD),Dolby Digital,"December 10, 2020 (2020-12-10)",41,12,,Akira Morii,,,"The original graphic novel ""Alice in Borderland""by Haro Aso published by Shogakukan Inc.",,,,,Robot Communications Inc.,,,Yutaka Yamada,,Multi-camera,"['Yoshiki Watabe', 'Yasuko Kuramitsu', 'Shinsuke Sato']",Shinsuke Sato,,,,,,,Kaata Sakamoto,,,,,,,,,,今際の国のアリス,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Kingdom,"['Historical period', 'Political drama', 'Horror', 'Thriller']",,"['Ju Ji-hoon', 'Ryu Seung-ryong', 'Bae Doo-na', 'Kim Sang-ho', 'Kim Sung-kyu', 'Kim Hye-jun']",,South Korea,Korean,2,12 + 1 special ,,,,36–56 minutes,,Netflix,Netflix,"['4K (Ultra HD)', 'High dynamic range']",Dolby Digital,"January 25, 2019 (2019-01-25) –present (present)",36,present,,Lee Sung-joon,,,The Kingdom of the Godsby Kim Eun-hee and Yang Kyung-il,,,,,AStory,,,,,Single-camera,Kim Eun-hee,"['Kim Seong-hun', 'Park In-je (Season 2)']",,,,,,,Lee Sang-baek,,,,,,,,,,,킹덤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Persona,Anthology series,Yoon Jong-shin,Lee Ji-eun,,South Korea,Korean,1,4,,,,19–27 minutes,"['Mystic Story', 'Kirin Productions']",,Netflix,,,"April 11, 2019 (2019-04-11) –present (present)",19,present,,,,,,,,,,,,,,,,"['Lee Kyoung-mi', 'Yim Pil-sung', 'Jeon Go-woon', 'Kim Jong-kwan']","['Lee Kyoung-mi', 'Yim Pil-sung', 'Jeon Go-woon', 'Kim Jong-kwan']",,,,,,,,,,,,,,,,,,페르소나,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Love Alarm,"['Science fiction', 'Romance', 'Teen']",,"['Kim So-hyun', 'Jung Ga-ram ', 'Song Kang']",,South Korea,Korean,1,8 ,,,,42–56 minutes,"['Netflix', 'Hidden Sequence', 'Studio Dragon']","['Netflix', 'CJ E&M']",['Netflix'],4K (16:9 UHDTV),Dolby Digital,"August 22, 2019 (2019-08-22) –present (present)",42,present,,Kijae Kim,,,Love Alarmby Chon Kye-young,Jiyoung Parkfor Studio Dragon,,,,,,,,,Single-camera,"['Lee Ah-yeon (Season 1)', 'Seo Bo-ra (Season 1-2)', 'Kim Sae-bom']","['Lee Na-jung (Season 1)', 'Kim Jin-woo (Season 2)', 'Park Yoo-yeong (Season 2)']",,,In My Dreams by Tearliner [ko] (feat. Love X Stereo),,,,Jinyee Kim,,,,,,,,,,,좋아하면 울리는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Extracurricular,"['Teen drama', 'Crime drama']",,"['Kim Dong-hee', 'Jung Da-bin', 'Park Ju-hyun', 'Nam Yoon-soo', 'Choi Min-soo', 'Park Hyuk-kwon', 'Kim Yeo-jin']",,South Korea,Korean,1,10 ,,,,44–72 minutes,,Netflix,Netflix,,,"April 29, 2020 (2020-04-29)",44,04,,,,,,,,,,Studio 329,,,,,Single camera,Jin Han-sae,Kim Jin-min,,,,,,,Yoon Shin-ae,,,,,,,,,,,인간수업,人間授業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,The School Nurse Files,"['Comedy', 'Fantasy']",,"['Jung Yu-mi', 'Nam Joo-hyuk']",,South Korea,Korean,1,6,Park Sung-hyeShin Yeon-ju,,,45–57 minutes,,Netflix,Netflix,,,"September 25, 2020 (2020-09-25)",45,09,,,,,School Nurse Ahn Eun-youngby Chung Serang,,,,,KeyEast,,,,,,"['Chung Serang', 'Lee Kyoung-mi']",Lee Kyoung-mi,,,,,,,,,,,,,,,,,,보건교사 안은영,保健教師 안은영,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Sweet Home,"['Drama', 'Horror', 'Apocalyptic']",NetflixProduction Plan,"['Song Kang', 'Lee Jin-wook', 'Lee Si-young', 'Lee Do-hyun ', 'Kim Nam-hee ']",,South Korea,Korean,1,10,,,,44–59 minutes,"['Studio Dragon', 'Studio N']",Netflix,Netflix,4K (Ultra HD),Dolby Digital,"December 18, 2020 (2020-12-18)",44,12,,Jinnie Choi [ko],,,Sweet Homeby Kim Carnby and Hwang Young-chan,Studio Dragon,,,,,,,,Kim Woo-seok,Single camera,"['Hong So-ri', 'Kim Hyung-min', 'Park So-jung']","['Lee Eung-bok', 'Jang Young-woo', 'Park So-hyun']",Gaemi,,,,,,Kim Young-kyu,,,,,,,,,,,스위트홈,,Kim Seol-jin,$27 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Home for Christmas,"Romantic comedy, drama-comedy",,,,Norway,Norwegian,2,12,,,,,,Netflix,,,,5 December 2020 (2020-12-05),,12,,Anders Tangen,,,,,,,,,,,,,,,Per-Olav Sørensen [no],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Ragnarok,,Adam Price,"['David Stakston', 'Jonas Strand Gravli', 'Herman Tømmeraas', 'Theresa Frostad Eggesbø', 'Emma Bones', 'Henriette Steenstrup', 'Gísli Örn Garðarsson', 'Synnøve Macody Lund']",,"['Denmark', 'Norway']",Norwegian,1,6,"['Adam Price', 'Meta Louise Foldager Sørensen']",,,,,,Netflix,,,31 January 2020 (2020-01-31) – present,, present,,Stine Meldgaard Madsen,Norway,,,,,,,SAM Productions,,,,,,"['Adam Price', 'Simen Alsvik', 'Marietta von Hausswolff von Baumgarten', 'Christian Gamst Miller-Harris', 'Jacob Katz Hansen']","['Mogens Hagedorn', 'Jannik Johansen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Bloodride,,,"['Stig R. Amdam', 'Anna Bache-Wiig', 'Ellen Bendu']",,Norway,Norwegian,1,6,,,,27–33 minutes,"['Monster Scripted AS', 'Netflix']",Netflix,Netflix,,,"March 13, 2020 (2020-03-13) –present",27,present,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Girls from Ipanema,,"['Heather Roth', 'Giuliano Cedroni']","['Maria Casadevall', 'Pathy Dejesus', 'Fernanda Vasconcellos', 'Mel Lisboa', 'Leandro Lima', 'Ícaro Silva', 'Alexandre Cioletti', 'Gustavo Vaz', 'Gustavo Machado', 'Larissa Nunes']",,Brazil,Portuguese,2,13,"['Giuliano Cedroni', 'Heather Roth', 'Maria Angela de Jesus', 'Camila Groch', 'Francesco Civita', 'Caíto Ortiz', 'Beto Gauss']",,,34–56 minutes,,Netflix,Netflix,4K (Ultra HD),,"March 22, 2019 (2019-03-22) –present",34,present,,,Rio de Janeiro,,,,,,"""The Girl from Ipanema"" by Amy Winehouse",Prodigo Films,,"['Beto Gauss', 'Francesco Civita']",,,Multiple-camera,"['', 'Heather Roth', 'Patricia Corso', 'Leonardo Moreira', 'Luna Grimberg', 'Giuliano Cedroni', 'Mariana Tesch']","['Caíto Ortiz', 'Hugo Prata', 'Julia Rezende']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Sintonia,"['Crime drama', 'Teen drama']",Kondzilla,"['Jottapê', 'Christian Malheiros', 'Bruna Mascarenhas']",,Brazil,Portuguese,1,6,['Felipe Braga'],"['Felipe Hermini', 'Lito Mendes da Rocha']","['Helena Maura', 'Rodrigo Menecucci', 'Estevan Santos']",36–47 minutes,,,Netflix,4K (Ultra HD),,"August 9, 2019 (2019-08-09) –present",36,present,,,,,,,,,,Losbragas,,"['Rita Moraes', 'Felipe Braga', 'Alice Braga']",,,,"['Guilherme Quintella', 'Duda de Almeida', 'Thays Berbe']","['Kondzilla', 'Johnny Araújo']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Reality Z,Zombie horror,Cláudio Torres,"['Ana Hartmann', 'Emílio de Mello', 'Carla Ribas', 'Ravel Andrade', 'Guilherme Weber', 'Luellem de Castro', 'João Pedro Zappa', 'Hanna Romanazzi', 'Jesus Luz']",,Brazil,Portuguese,1,10 ,Charlie BrookerAnnabel Jones,Rodrigo Monte,Sérgio MeklerIsadora Boschiroli,40 minutes,,,Netflix,4K (Ultra HD),,10 June 2020 (2020-06-10) –present,40,present,,,,,Dead Setby Charlie Brooker,,,,,Conspiração Filmes,,Cláudio TorresRenata Brandão,,,,Cláudio TorresJoão Costa,Rodrigo Monte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,Kissing Game,Thriller drama,Esmir Filho,"['Caio Horowicz', 'Denise Fraga', 'Esther Tinman', 'Bianca Byington', 'Carolina del Carmen Peleritti', 'Iza Moreira', 'Thomás Aquino']",,Brazil,Portuguese,N/A,,,,,,"['Gullane', 'Fetiche Features']",Netflix,Netflix,,,"July 17, 2020 (2020-07-17) –present",,present,,,,,,,,,,,,"['Fernando Sapelli', 'Thereza Menezes', 'Caio Gullane', 'Fabiano Gullane']",,,,,"['Esmir Filho', 'Juliana Rojas']",,,,,,,,,,,,,,,"['Esmir Filho', 'Juliana Rojas', 'Marcelo Marchi', 'Jaqueline Souza', 'Thais Guisasola']",,,,,,,Boca a Boca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"Good Morning, Verônica","['Crime drama', 'Mystery', 'Thriller']",Raphael Montes,"['Tainá Müller', 'Eduardo Moscovis', 'Camila Morgado', 'Elisa Volpatto', 'Silvio Guindane', 'César Mello', 'Adriano Garib', 'Antônio Grassi']","['Dado Villa-Lobos', 'Roberto Schilling']",Brazil,Portuguese,1,8,"['José Henrique Fonseca', 'Eduardo Pop', 'Ilana Casoy', 'Raphael Montes']",,"['Yan Motta', 'Tainá Diniz', 'Sergio Mekler']",41–49 minutes,,,Netflix,4K (Ultra HD),,"October 1, 2020 (2020-10-01) –present",41,present,,,São Paulo,,"['Raphael Montes', 'Ilana Casoy']",,,,,Zola Filmes,,,,,,"['Raphael Montes', 'Ilana Casoy', 'Gustavo Bragança', 'Davi Kolb', 'Carol Garcia']","['José Henrique Fonseca', 'Izabel Jaguaribe', 'Rog de Souza']",,,,,,,,,,,,,,,,,,,,,,"Bom Dia, Verônica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,Invisible City,Fantasy,Carlos Saldanha,"['Marco Pigossi', 'Alessandra Negrini', 'Fábio Lago', 'Jessica Córes', 'Jimmy London', 'Wesley Guimarães', 'Áurea Maranhão', 'Julia Konrad', 'Thaia Perez', 'Manu Dieguez', 'José Dumont']",,Brazil,Portuguese,1,7 ,"['Carlos Saldanha', 'Renata Grynszpan', 'Caito Ortiz', 'Maresa Pullman', 'Marco Anton']",,,31-40 minutes,"['Prodigo Films', 'BottleCap Productions', 'Boipeba Filmes']",,Netflix,4K (Ultra HD),Stereo,"February 5, 2021 (2021-02-05) –present (present)",31,present,,,,"['Rio de Janeiro', 'Ubatuba']",,,,,,,,"['Francesco Civita', 'Beto Gauss']",,,,Mirna Nogueira,"['Júlia Pacheco Jordão', 'Luis Carone']",,,,,,,,,,,,,,,,,,,,,,Cidade Invisível,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,Elite,"['Thriller', 'Teen drama']","['Carlos Montero', 'Darío Madrona']","['María Pedraza', 'Itzan Escamilla', 'Miguel Bernardeau', 'Ester Expósito', 'Danna Paola', 'Miguel Herrán', 'Jaime Lorente', 'Álvaro Rico', 'Arón Piper', 'Mina El Hammani', 'Omar Ayuso', 'Jorge López', 'Claudia Salas', 'Georgina Amorós', 'Sergio Momo', 'Leïti Sène', 'Manu Ríos', 'Carla Díaz', 'Pol Granch', 'Martina Cariddi']",,Spain,Spanish,3,24 ,"['Carlos Montero', 'Darío Madrona', 'Diego Betancor', 'Iñaki Juaristi']","['Daniel Sosa Segura', 'Ricardo de Gracia']","['Irene Blecua', 'Ascen Marchena']",47–56 minutes,,Netflix,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital 5.1,5 October 2018 (2018-10-05) –present (present),47,present,,Francisco Ramos,,"Sierra de Guadarrama, Madrid",,,,,,Zeta Producciones,,,Lucas Vidal,,Single-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Always a Witch,FantasyRomantic comedy,Ana María Parra,"['Angely Gaviria', 'Lenard Vanderaa', 'Carlos Quintero', 'Sebastián Eslava', 'Cristina Warner', 'Sofía Araújo', 'Valeria Henríquez', 'Dylan Fuentes', 'Verónica Orozco', 'Luis Fernando Hoyos', 'Óscar Casas']",,Colombia,Spanish,2,18,"['Mateo Stivelberg', 'Liliana Bocanegra']",,,32–43 minutes,,Netflix,Netflix,1080i HDTV,,"February 19, 2019 (2019-02-19) –February 28, 2020 (2020-02-28)",32,"February 28, 2020",,,,"['Bogotá', 'Cartagena, Colombia', 'Honda, Tolima']","Yo, brujaby Isidora Chacón",,,,,Caracol Televisión,,"['Dago García', 'Juliana Barrera']",,,Multiple-camera setup,"['Ana María Parra', 'Jason Ning', 'Jenn Kao', 'Ildy Modrovich', 'Sheri Elwood', 'Alex Katsnelson', 'Chris Rafferty', 'Mike Costa']","['Liliana Bocanegra', 'Louis Milito', 'Matt Earl Beesley', 'Tim Matheson', 'Mateo Stivelberg']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,Monarca,Drama,Diego Gutiérrez,"['Irene Azuela', 'Juan Manuel Bernal', 'Osvaldo Benavides', 'Rosa María Bianchi']",,Mexico,Spanish,2,18,,,,,"['Ventanarosa', 'Lemon Studios', 'Stearns Castle']",Netflix,,,,"September 13, 2019 (2019-09-13) –January 1, 2021 (2021-01-01)",,"January 1, 2021",,,,,,,,,,,,,,,,"['Sandra García Velten', 'Ana Sofía Clerici', 'Fernando Rovzar', 'Julia Denis']",,,,,,,,Diego Gutiérrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Hache,Crime drama,Verónica Fernández,"['Adriana Ugarte', 'Eduardo Noriega', 'Javier Rey']",,Spain,Spanish,2,14,"['Tomás Cimadevilla', 'Verónica Fernández', 'Jorge Iglesias']",Julián Elizalde,"['Paco Díaz', 'Irene Blecua']",50 minutes,,Netflix,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,1 November 2019 (2019-11-01) –present,50,present,,,,,,,,,,Weekend Studio,,,,,,"['Carlos López', 'Santos Mercero', 'Almudena Ocaña']","['Jorge Torregrossa', 'Fernando Trullols', 'Vibhav Shikdar']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,The Neighbor,"['Superhero', 'Comedy']","['Miguel Esteban', 'Raúl Navarro']","['Quim Gutiérrez', 'Clara Lago', 'Adrián Pino', 'Catalina Sopelana']",,Spain,Spanish,1,10 ,"['Carlos de Pando', 'Sara Antuña', 'Nahikari Ipiña', 'Eneko Gutierrez']","['Jon D. Domínguez', 'David Valldepérez']",,25–33 minutes,['Zeta Audiovisual'],Netflix,Netflix,4K (16:9 UHDTV in high dynamic range),Dolby Digital,"December 31, 2019 (2019-12-31) –present (present)",25,present,,,,,El Vecino by  Santiago García and Pepo Pérez,,,,,,,,,,Single-camera,"['Miguel Esteban', 'Raúl Navarro', 'Carlos de Pando', 'Sara Antuña']",Nacho Vigalondo,,,,,El Vecino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,Unstoppable,Teen drama,,"['Tessa Ía', 'Bárbara López', 'Lucía Uribe', 'Coty Camacho']",,Mexico,Spanish,1,10,"Diego Martínez UlanoskyMariana ""Rana"" GonzálezOctavio GortázarEstefanía Leal",Julio Llorente,,34-43 minutes,,Netflix,Netflix,,,28 February 2020 (2020-02-28),34,02,,Raúl Aragón,,,,,,,,Caponeto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Almost Happy,,,"['Sebastián Wainraich', 'Natalie Pérez', 'Santiago Korovsky']",,Argentina,Spanish,1,10 ,,,,22-28 minutes,,Netflix,Netflix,,,1 May 2020 (2020-05-01),22,05,,,,,,,,,,HC Films,,,,,,Sebastián Wainraich,Hernán Guerschuny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Valeria,"['Comedy-drama', 'Sex comedy']",,"['Diana Gómez', 'Silma López', 'Paula Malia', 'Teresa Riott', 'Maxi Iglesias', 'Ibrahim Al Shami']","['Ayelén Martínez de Salazar', 'Roberto Corralo', 'Jesus Quijada']",Spain,Spanish,1,8 ,,Johnny Yebra,"['Cristina G. Aller', 'Alicia González Sahagún', 'Isabel Álverez de Morales']",37–46 minutes,,Netflix,Netflix,,,8 May 2020 (2020-05-08) –present,37,present,,César Benítez,,,En los zapatos de Valeriaby Elísabet Benavent,María López Castaño,,,,Plano a Plano,,,,,Single-camera,,"['Inma Torrente', 'Nely Reguera']",,,,,,,María López Castaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,The Unremarkable Juanquini,,,"['Antonio Sanint', 'Maria Cecilia Sanchez', 'Julián Cerati', 'Mariana Gómez', 'Júlio César Herrera']",,Colombia,Spanish,1,7,,,,24-39 minutes,,Netflix,Netflix,,,15 May 2020 (2020-05-15),24,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,Control Z,Teen drama,"['Carlos Quintanilla Sakar', 'Adriana Pelusi', 'Miguel García Moreno']","['Ana Valeria Becerril', 'Michael Ronda', 'Yankel Stevan', 'Zion Moreno', 'Macarena García', 'Fiona Palomo', 'Andrés Baida', 'Patricio Gallardo']",,Mexico,Spanish,1,8 ,"['Fernando Rovzar', 'Billy Rovzar']",,,34–41 minutes,,Netflix,Netflix,,,22 May 2020 (2020-05-22) –present,34,present,,,,,,,,,,Lemon Studios,,,,,,,Alejandro Lozano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Crime Diaries: The Search,Drama,,"['Regina Blandón', 'Darío Yazbek Bernal', 'Verónica Bravo']",,Mexico,Spanish,1,6,,,,,,Netflix,Netflix,,,12 June 2020 (2020-06-12),,06,,,,,,,,,,Dynamo,Crime Diaries: Night Out,,,,,,,,,,,Historia de un crimen: La búsqueda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,Dark Desire,thriller drama,Leticia López Margalli,"['Maite Perroni', 'Jorge Poza', 'Regina Pavón', 'Alejandro Speitzer', 'Erik Hayser']",,Mexico,Spanish,1,18,,,,30–39 minutes,,Netflix,Netflix,,,15 July 2020 (2020-07-15) –present (present),30,present,,,,,,,,,,Argos Comunicación,,,,,,"['Nayura Aragón', 'Leticia López Margalli', 'Gennys Pérez']","['Epigmenio Ibarra', 'Kenya Márquez']",,,,,Oscuro deseo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,The Great Heist,"['Crime', 'Drama', 'Thriller']",,"['Andres Parra', 'Christian Tappán', 'Marcela Benjumea', 'Paula Castaño']",,Colombia,Spanish,1,6,,,,37-48 minutes,,Netflix,Netflix,,,14 August 2020 (2020-08-14),37,08,,,,,,,,,,Dynamo,,,,,,,,,,,,El robo del siglo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Someone Has to Die,Thriller,Manolo Caro,"['Carmen Maura', 'Cecilia Suárez', 'Ernesto Alterio', 'Ester Expósito']",,"['Spain', 'Mexico']",Spanish,1,3,"['Rafael Ley', 'María José Córdova', 'Carlos Taibo', 'Manolo Caro']",,,,,Netflix,Netflix,,,"October 16, 2020 (2020-10-16)",,10,,,,,,,,,,Noc Noc Cinema,,,,,,"['Fernando Pérez', 'Monika Revilla', 'Manolo Caro']",,,,,,Alguien tiene que morir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,The Minions of Midas,"['Crime', 'Drama', 'Thriller']",,"['Luis Tosar', 'Marta Belmonte', 'Guillermo Toledo']",,Spain,Spanish,1,6,,,,49-57 minutes,,Netflix,Netflix,,,13 November 2020 (2020-11-13),49,11,,,,,"""The Minions of Midas""by Jack London",,,,,Nostromo Pictures,,,,,,,,,,,,Los Favoritos de Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,The Mess You Leave Behind,"['Thriller', 'Drama']",Carlos Montero,"['Inma Cuesta', 'Bárbara Lennie', 'Tamar Novas', 'Arón Piper', 'Roberto Enríquez']","['Lucio Godoy', 'Ricardo Curto']",Spain,Spanish,1,8,,,,,['Vaca Films'],,Netflix,,,11 December 2020 (2020-12-11),,12,,Emma Lustres,,,El desorden que dejasby Carlos Montero,,,,"""La espina de la flor en tu costado"" by Xoel López",,,,,,,"['Carlos Montero', 'Javier Holgado', 'Andrés Seara']","['Carlos Montero', 'Silvia Quer', 'Roger Gual']",,,,,El desorden que dejas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,Daughter From Another Mother,"['Comedy', 'Drama']","['Carolina Rivera', 'Fernando Sariñana']","['Ludwika Paleta', 'Paulina Goto']",,Mexico,Spanish,1,9,,,,,,,Netflix,,,20 January 2021 (2021-01-20),,01,,,,,,,,,,Perro Azul,,,,,,,,,,,,Madre sólo hay dos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Sky Rojo,,"['Álex Pina', 'Esther Martínez Lobato']","['Lali Espósito', 'Miguel Ángel Silvestre', 'Verónica Sánchez', 'Yany Prado', 'Asier Etxeandia', 'Enric Auquer']",,Spain,Spanish,N/A,N/A,"['Álex Pina', 'Esther Martínez Lobato', 'Jesús Colmenar']","['Migue Amoedo', 'David Azcano', 'David Acereto']",,25 minutes,NetflixVancouver Media,Netflix,,,,,25,,,,,,,,,,,,,"['Juan López Olivar', 'Cristina López Ferraz']",,,,"['Álex Pina', 'Esther Martínez Lobato', 'David Barrocal', 'David Oliva', 'Javier Gómez Santander', 'Juan Salvador López', 'Mercedes Rodrigo']","['Jesús Colmenar', 'Óscar Pedraza', 'David Victori', 'Albert Pintó', 'Javier Quintas', 'Eduardo Chapero-Jackson']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,The Gift,"['Mystery', 'psychological thriller', 'science fiction']",,"['Beren Saat', 'Mehmet Günsür', 'Metin Akdülger', 'Melisa Şenolsun']",,Turkey,Turkish,2,16,"['Onur Güvenatam', 'Özge Bağdatlıoğlu', 'Jason George']",,"['Erhan Acar Jr', 'Korhan Koryurek', 'Aylin Tinel']",30-50 minutes,NetflixOG Medya,Netflix,Netflix,4K (Ultra HD),,"December 27, 2019 (2019-12-27) –present",30,present,,Alex Sutherland,Göbekli Tepe,,Dünyanın Uyanışı by Şengül Boybaş,,,,,,,,,,Single-camera,"['Jason George', 'Nuran Evren Şit']","['Ozan Açıktan', 'Gönenç Uyanık', 'Ali Taner']",,,,,,,,,,,,,,,,,,,,,,,Atiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Love 101,"['Period teen drama', 'Comedy-drama']",,"['Mert Yazıcıoğlu', 'Kubilay Aka', 'Alina Boz', 'Selahattin Paşalı', 'İpek Filiz Yazıcı', 'Pınar Deniz', 'Kaan Urgancıoğlu']",,Turkey,Turkish,1,8,,,,33–48 minutes,,Netflix,Netflix,4K (Ultra HD),,24 April 2020 (2020-04-24) –present,33,present,,Kerem Çatay,,,,,,Bade İşçil,,Ay Yapım,,,Marios Takoushis,Ahmet Can Çakırca,,"['Meriç Acemi', 'Destan Sedolli']",Ahmet Katıksız,,,,,,,,,,,,,,,,,,,,,,,Aşk 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Ethos,"['Drama', 'thriller']",,"['Öykü Karayel', 'Fatih Artman', 'Funda Eryiğit', 'Defne Kayalar', 'Tülin Özen']",,Turkey,,1,8,,,,40–58 minutes,,Netflix,Netflix,4K (Ultra HD),,12 November 2020 (2020-11-12) –present,40,present,,,,,,,,,,Krek Film,,"['Ali Farkhonde', 'Nisan Ceren Göçen']",,,,Berkun Oya,Berkun Oya,,,,,,"Turkish, Kurdish",,,,,,,,,,,,,,,,,Bir Başkadır,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,50M2,,,"['Engin Öztürk', 'Aybüke Pusat', 'Cengiz Bozkurt']",,Turkey,Turkish,1,8,,,,30–50 minutes,,Netflix,,4K (Ultra HD),,27 January 2021 (2021-01-27) –present,30,present,,,Istanbul,,,,,,,BKM Film,,,,,,Burak Aksak,Selçuk Aydemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
